id,title,body_html,vendor,product_type,variants0option1,variants0price,variants1option1,variants1price,variants2option1,variants2price,variants3option1,variants3price,variants4option1,variants4price,variants5option1,variants5price,variants6option1,variants6price,variants7option1,variants7price,variants8option1,variants8price,variants9option1,variants9price,maxPrice
2759196675,Synergistic Bronze Pants,Engineer b2c relationships,"Hand, Olson and Osinski",Pants,Lavender,38.94,Yellow,18.41,,,,,,,,,,,,,,,,,38.94
2759194115,Durable Rubber Clock,Syndicate granular deliverables,Schuppe Group,Clock,Sky blue,1.05,Azure,35.38,,,,,,,,,,,,,,,,,35.38
2759193219,Practical Copper Bottle,Generate user-centric vortals,"Braun, Marvin and Hayes",Bottle,Magenta,0.04,Pink,90.63,Black,2.91,Red,82.57,Olive,59.34,,,,,,,,,,,90.63
2759192387,Heavy Duty Concrete Keyboard,Strategize synergistic e-markets,Stiedemann and Sons,Keyboard,Magenta,14.2,,,,,,,,,,,,,,,,,,,14.2
2759191619,Small Rubber Wallet,Seize front-end e-commerce,Abernathy-Bechtelar,Wallet,Blue,29.33,Turquoise,18.5,,,,,,,,,,,,,,,,,29.33
2759190723,Heavy Duty Wooden Knife,Reintermediate b2c systems,"Runte, Wunsch and Wintheiser",Knife,Red,73.99,Olive,38.04,,,,,,,,,,,,,,,,,73.99
2759189827,Mediocre Silk Car,Empower collaborative paradigms,Murray LLC,Car,Ivory,57.2,Blue,30.88,Violet,50.97,,,,,,,,,,,,,,,57.2
2759187843,Synergistic Rubber Coat,Deploy wireless e-commerce,Rowe-Haag,Coat,Purple,41.52,Sky blue,78.91,Lime,3.25,,,,,,,,,,,,,,,78.91
2759183939,Intelligent Rubber Lamp,Mesh cross-media web-readiness,"Haag, O'Reilly and Hartmann",Lamp,Silver,0.77,White,89.61,Orange,97.42,,,,,,,,,,,,,,,97.42
2759181315,Intelligent Cotton Wallet,Scale 24365 architectures,"Hessel, Bergstrom and Swaniawski",Wallet,White,17.97,Turquoise,44.53,Azure,45.34,Ivory,54.44,Sky blue,92.91,Olive,87.3,Orchid,12.89,,,,,,,92.91
2759180227,Aerodynamic Wooden Table,Matrix turn-key applications,Weimann-Keebler,Table,Magenta,29.84,Maroon,44.22,,,,,,,,,,,,,,,,,44.22
2759179267,Practical Silk Chair,Scale cross-platform web services,Runolfsdottir-Yundt,Chair,Mint green,12.35,Blue,86.3,White,52.05,Cyan,83.71,Orange,38.25,Plum,65.92,Red,47.78,Azure,33.38,Olive,23.09,Teal,52.69,86.3
2759178563,Ergonomic Paper Computer,Enable turn-key infrastructures,Schinner Inc,Computer,White,67.25,Mint green,29.58,Yellow,54.19,Blue,22.88,,,,,,,,,,,,,67.25
2759176835,Heavy Duty Marble Chair,Cultivate clicks-and-mortar infrastructures,Ryan-Wintheiser,Chair,Sky blue,30.43,Turquoise,26.11,White,15.66,Mint green,71.96,Purple,27.94,,,,,,,,,,,71.96
2759175875,Gorgeous Paper Hat,Benchmark turn-key e-tailers,Towne Group,Hat,Purple,6.11,Magenta,92.31,White,94.71,Orange,92.2,Tan,61.35,,,,,,,,,,,94.71
2759173059,Enormous Leather Lamp,Engage out-of-the-box interfaces,Legros-Wilkinson,Lamp,Azure,65.99,Salmon,1.66,,,,,,,,,,,,,,,,,65.99
2759172035,Sleek Cotton Shoes,Benchmark leading-edge technologies,Glover Group,Shoes,Sky blue,20,Orange,0.6,Azure,64.38,Orchid,45.09,Purple,33.11,,,,,,,,,,,64.38
2759171587,Durable Concrete Lamp,Engage plug-and-play action-items,Treutel-Bahringer,Lamp,Orchid,44.23,Turquoise,51.71,,,,,,,,,,,,,,,,,51.71
2759170563,Enormous Marble Plate,Brand value-added channels,Tillman-Gottlieb,Plate,Purple,76.1,Salmon,62.3,,,,,,,,,,,,,,,,,76.1
2759170371,Enormous Marble Hat,Seize frictionless infrastructures,"Anderson, Collier and Dickinson",Hat,Indigo,72.08,Salmon,62.83,Purple,5.62,Magenta,30.64,Blue,26.93,Green,64.99,Red,88.55,Fuchsia,14.81,Orange,80,,,88.55
2759170115,Aerodynamic Rubber Shoes,Syndicate user-centric communities,"Terry, Anderson and Jakubowski",Shoes,Olive,59.98,Teal,64.44,Ivory,24.49,,,,,,,,,,,,,,,64.44
2759169475,Ergonomic Wooden Pants,Syndicate interactive experiences,Sporer-Hyatt,Pants,Pink,92.1,Red,92.37,Blue,9.16,Yellow,18.11,,,,,,,,,,,,,92.37
2759169283,Durable Paper Pants,Mesh integrated functionalities,Will and Sons,Pants,Plum,81.04,Purple,2.38,Black,83.79,Green,78.8,Grey,47.3,Turquoise,85.64,,,,,,,,,85.64
2759169091,Rustic Granite Lamp,Visualize viral bandwidth,Hermiston-Goodwin,Lamp,Black,5.49,Orchid,4.99,Purple,81.72,,,,,,,,,,,,,,,81.72
2759168835,Awesome Cotton Table,Target clicks-and-mortar roi,"Frami, Upton and Bauch",Table,Plum,67.4,,,,,,,,,,,,,,,,,,,67.4
2759168323,Awesome Cotton Computer,Brand synergistic applications,Hills Group,Computer,Black,2.05,Orchid,10.78,Tan,50.54,Teal,91.51,Gold,8.24,,,,,,,,,,,91.51
2759168195,Ergonomic Concrete Wallet,Empower customized experiences,Wolf-Bergstrom,Wallet,Cyan,59.68,Purple,41.48,Fuchsia,37.56,,,,,,,,,,,,,,,59.68
2759168003,Intelligent Wool Gloves,Enable frictionless supply-chains,Luettgen Inc,Gloves,Teal,91.27,Mint green,62.78,Olive,89.55,Red,24.96,,,,,,,,,,,,,91.27
2759167747,Awesome Bronze Computer,Orchestrate holistic web services,Zboncak-Kemmer,Computer,Magenta,56.69,Mint green,63.89,Maroon,18.76,Salmon,97.6,,,,,,,,,,,,,97.6
2759167427,Practical Silk Bag,Innovate distributed interfaces,"Legros, Willms and Von",Bag,Salmon,57,,,,,,,,,,,,,,,,,,,57
