id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags/0,tags/1,tags/2,variants/0/id,variants/0/title,variants/0/option1,variants/0/option2,variants/0/option3,variants/0/sku,variants/0/requires_shipping,variants/0/taxable,variants/0/featured_image,variants/0/available,variants/0/price,variants/0/grams,variants/0/compare_at_price,variants/0/position,variants/0/product_id,variants/0/created_at,variants/0/updated_at,variants/1/id,variants/1/title,variants/1/option1,variants/1/option2,variants/1/option3,variants/1/sku,variants/1/requires_shipping,variants/1/taxable,variants/1/featured_image,variants/1/available,variants/1/price,variants/1/grams,variants/1/compare_at_price,variants/1/position,variants/1/product_id,variants/1/created_at,variants/1/updated_at,images/0/id,images/0/created_at,images/0/position,images/0/updated_at,images/0/product_id,images/0/src,options/0/name,options/0/position,options/0/values/0,options/0/values/1,variants/2/id,variants/2/title,variants/2/option1,variants/2/option2,variants/2/option3,variants/2/sku,variants/2/requires_shipping,variants/2/taxable,variants/2/featured_image,variants/2/available,variants/2/price,variants/2/grams,variants/2/compare_at_price,variants/2/position,variants/2/product_id,variants/2/created_at,variants/2/updated_at,variants/3/id,variants/3/title,variants/3/option1,variants/3/option2,variants/3/option3,variants/3/sku,variants/3/requires_shipping,variants/3/taxable,variants/3/featured_image,variants/3/available,variants/3/price,variants/3/grams,variants/3/compare_at_price,variants/3/position,variants/3/product_id,variants/3/created_at,variants/3/updated_at,variants/4/id,variants/4/title,variants/4/option1,variants/4/option2,variants/4/option3,variants/4/sku,variants/4/requires_shipping,variants/4/taxable,variants/4/featured_image,variants/4/available,variants/4/price,variants/4/grams,variants/4/compare_at_price,variants/4/position,variants/4/product_id,variants/4/created_at,variants/4/updated_at,options/0/values/2,options/0/values/3,options/0/values/4,tags/3,variants/5/id,variants/5/title,variants/5/option1,variants/5/option2,variants/5/option3,variants/5/sku,variants/5/requires_shipping,variants/5/taxable,variants/5/featured_image,variants/5/available,variants/5/price,variants/5/grams,variants/5/compare_at_price,variants/5/position,variants/5/product_id,variants/5/created_at,variants/5/updated_at,variants/6/id,variants/6/title,variants/6/option1,variants/6/option2,variants/6/option3,variants/6/sku,variants/6/requires_shipping,variants/6/taxable,variants/6/featured_image,variants/6/available,variants/6/price,variants/6/grams,variants/6/compare_at_price,variants/6/position,variants/6/product_id,variants/6/created_at,variants/6/updated_at,options/0/values/5,options/0/values/6,variants/7/id,variants/7/title,variants/7/option1,variants/7/option2,variants/7/option3,variants/7/sku,variants/7/requires_shipping,variants/7/taxable,variants/7/featured_image,variants/7/available,variants/7/price,variants/7/grams,variants/7/compare_at_price,variants/7/position,variants/7/product_id,variants/7/created_at,variants/7/updated_at,variants/8/id,variants/8/title,variants/8/option1,variants/8/option2,variants/8/option3,variants/8/sku,variants/8/requires_shipping,variants/8/taxable,variants/8/featured_image,variants/8/available,variants/8/price,variants/8/grams,variants/8/compare_at_price,variants/8/position,variants/8/product_id,variants/8/created_at,variants/8/updated_at,variants/9/id,variants/9/title,variants/9/option1,variants/9/option2,variants/9/option3,variants/9/sku,variants/9/requires_shipping,variants/9/taxable,variants/9/featured_image,variants/9/available,variants/9/price,variants/9/grams,variants/9/compare_at_price,variants/9/position,variants/9/product_id,variants/9/created_at,variants/9/updated_at,options/0/values/7,options/0/values/8,options/0/values/9
2759196675,Synergistic Bronze Pants,synergistic-bronze-pants,Engineer b2c relationships,2015-09-23T20:52:12-04:00,2015-09-23T20:52:12-04:00,2015-09-23T20:52:12-04:00,"Hand, Olson and Osinski",Pants,Bronze,Pants,Synergistic,8041889923,Lavender,Lavender,,,,true,true,,true,38.94,4115,,1,2759196675,2015-09-23T20:52:12-04:00,2015-09-23T20:52:12-04:00,8041889987,Yellow,Yellow,,,,true,true,,true,18.41,7770,,2,2759196675,2015-09-23T20:52:12-04:00,2015-09-23T20:52:12-04:00,5642059587,2015-09-23T20:52:12-04:00,1,2015-09-23T20:52:12-04:00,2759196675,https://cdn.shopify.com/s/files/1/1000/7970/products/Synergistic_20Bronze_20Pants.png?v=1443055932,Title,1,Lavender,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759194115,Durable Rubber Clock,durable-rubber-clock,Syndicate granular deliverables,2015-09-23T20:52:09-04:00,2015-09-23T20:52:09-04:00,2015-09-23T20:52:09-04:00,Schuppe Group,Clock,Clock,Durable,Rubber,8041885891,Sky blue,Sky blue,,,,true,true,,true,1.05,5493,,1,2759194115,2015-09-23T20:52:09-04:00,2015-09-23T20:52:09-04:00,8041885955,Azure,Azure,,,,true,true,,true,35.38,2592,,2,2759194115,2015-09-23T20:52:09-04:00,2015-09-23T20:52:09-04:00,5642058115,2015-09-23T20:52:09-04:00,1,2015-09-23T20:52:09-04:00,2759194115,https://cdn.shopify.com/s/files/1/1000/7970/products/Durable_20Rubber_20Clock.png?v=1443055929,Title,1,Sky blue,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759193219,Practical Copper Bottle,practical-copper-bottle-1,Generate user-centric vortals,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,"Braun, Marvin and Hayes",Bottle,Bottle,Copper,Practical,8041884611,Magenta,Magenta,,,,true,true,,true,0.04,6081,,1,2759193219,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,8041884675,Pink,Pink,,,,true,true,,true,90.63,1872,,2,2759193219,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,5642057731,2015-09-23T20:52:08-04:00,1,2015-09-23T20:52:08-04:00,2759193219,https://cdn.shopify.com/s/files/1/1000/7970/products/Practical_20Copper_20Bottle_94c78e0b-5fec-42dd-acee-f438de86744c.png?v=1443055928,Title,1,Magenta,Pink,8041884739,Black,Black,,,,true,true,,true,2.91,2849,,3,2759193219,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,8041884867,Red,Red,,,,true,true,,true,82.57,5553,,4,2759193219,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,8041885059,Olive,Olive,,,,true,true,,true,59.34,5173,,5,2759193219,2015-09-23T20:52:08-04:00,2015-09-23T20:52:08-04:00,Black,Red,Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759192387,Heavy Duty Concrete Keyboard,heavy-duty-concrete-keyboard,Strategize synergistic e-markets,2015-09-23T20:52:07-04:00,2015-09-23T20:52:07-04:00,2015-09-23T20:52:07-04:00,Stiedemann and Sons,Keyboard,Concrete,Duty,Heavy,8041883779,Magenta,Magenta,,,,true,true,,true,14.20,3030,,1,2759192387,2015-09-23T20:52:07-04:00,2015-09-23T20:52:07-04:00,,,,,,,,,,,,,,,,,,5642056899,2015-09-23T20:52:07-04:00,1,2015-09-23T20:52:07-04:00,2759192387,https://cdn.shopify.com/s/files/1/1000/7970/products/Heavy_20Duty_20Concrete_20Keyboard.png?v=1443055927,Title,1,Magenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759191619,Small Rubber Wallet,small-rubber-wallet,Seize front-end e-commerce,2015-09-23T20:52:06-04:00,2015-09-23T20:52:06-04:00,2015-09-23T20:52:06-04:00,Abernathy-Bechtelar,Wallet,Rubber,Small,Wallet,8041882755,Blue,Blue,,,,true,true,,true,29.33,7380,,1,2759191619,2015-09-23T20:52:06-04:00,2015-09-23T20:52:06-04:00,8041882819,Turquoise,Turquoise,,,,true,true,,true,18.50,8124,,2,2759191619,2015-09-23T20:52:06-04:00,2015-09-23T20:52:06-04:00,5642056259,2015-09-23T20:52:06-04:00,1,2015-09-23T20:52:06-04:00,2759191619,https://cdn.shopify.com/s/files/1/1000/7970/products/Small_20Rubber_20Wallet.png?v=1443055926,Title,1,Blue,Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759190723,Heavy Duty Wooden Knife,heavy-duty-wooden-knife,Reintermediate b2c systems,2015-09-23T20:52:05-04:00,2015-09-23T20:52:05-04:00,2015-09-23T20:52:05-04:00,"Runte, Wunsch and Wintheiser",Knife,Duty,Heavy,Knife,8041881731,Red,Red,,,,true,true,,true,73.99,9542,,1,2759190723,2015-09-23T20:52:05-04:00,2015-09-23T20:52:05-04:00,8041881795,Olive,Olive,,,,true,true,,true,38.04,5796,,2,2759190723,2015-09-23T20:52:05-04:00,2015-09-23T20:52:05-04:00,5642055939,2015-09-23T20:52:05-04:00,1,2015-09-23T20:52:05-04:00,2759190723,https://cdn.shopify.com/s/files/1/1000/7970/products/Heavy_20Duty_20Wooden_20Knife.png?v=1443055925,Title,1,Red,Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759189827,Mediocre Silk Car,mediocre-silk-car,Empower collaborative paradigms,2015-09-23T20:52:03-04:00,2015-09-23T20:52:03-04:00,2015-09-23T20:52:03-04:00,Murray LLC,Car,Car,Mediocre,Silk,8041879939,Ivory,Ivory,,,,true,true,,true,57.20,5051,,1,2759189827,2015-09-23T20:52:03-04:00,2015-09-23T20:52:03-04:00,8041880003,Blue,Blue,,,,true,true,,true,30.88,2999,,2,2759189827,2015-09-23T20:52:03-04:00,2015-09-23T20:52:03-04:00,5642053635,2015-09-23T20:52:03-04:00,1,2015-09-23T20:52:03-04:00,2759189827,https://cdn.shopify.com/s/files/1/1000/7970/products/Mediocre_20Silk_20Car.png?v=1443055923,Title,1,Ivory,Blue,8041880131,Violet,Violet,,,,true,true,,true,50.97,2461,,3,2759189827,2015-09-23T20:52:03-04:00,2015-09-23T20:52:03-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759187843,Synergistic Rubber Coat,synergistic-rubber-coat,Deploy wireless e-commerce,2015-09-23T20:52:01-04:00,2015-09-23T20:52:01-04:00,2015-09-23T20:52:01-04:00,Rowe-Haag,Coat,Coat,Rubber,Synergistic,8041876803,Purple,Purple,,,,true,true,,true,41.52,7245,,1,2759187843,2015-09-23T20:52:01-04:00,2015-09-23T20:52:01-04:00,8041876931,Sky blue,Sky blue,,,,true,true,,true,78.91,7056,,2,2759187843,2015-09-23T20:52:01-04:00,2015-09-23T20:52:01-04:00,5642051843,2015-09-23T20:52:01-04:00,1,2015-09-23T20:52:01-04:00,2759187843,https://cdn.shopify.com/s/files/1/1000/7970/products/Synergistic_20Rubber_20Coat.png?v=1443055921,Title,1,Purple,Sky blue,8041877059,Lime,Lime,,,,true,true,,true,3.25,6656,,3,2759187843,2015-09-23T20:52:01-04:00,2015-09-23T20:52:01-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759183939,Intelligent Rubber Lamp,intelligent-rubber-lamp,Mesh cross-media web-readiness,2015-09-23T20:51:56-04:00,2015-09-23T20:51:56-04:00,2015-09-23T20:51:56-04:00,"Haag, O'Reilly and Hartmann",Lamp,Intelligent,Lamp,Rubber,8041871939,Silver,Silver,,,,true,true,,true,0.77,9189,,1,2759183939,2015-09-23T20:51:56-04:00,2015-09-23T20:51:56-04:00,8041872003,White,White,,,,true,true,,true,89.61,8199,,2,2759183939,2015-09-23T20:51:56-04:00,2015-09-23T20:51:56-04:00,5642049667,2015-09-23T20:51:56-04:00,1,2015-09-23T20:51:56-04:00,2759183939,https://cdn.shopify.com/s/files/1/1000/7970/products/Intelligent_20Rubber_20Lamp.png?v=1443055916,Title,1,Silver,White,8041872067,Orange,Orange,,,,true,true,,true,97.42,9241,,3,2759183939,2015-09-23T20:51:56-04:00,2015-09-23T20:51:56-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759181315,Intelligent Cotton Wallet,intelligent-cotton-wallet,Scale 24/365 architectures,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,"Hessel, Bergstrom and Swaniawski",Wallet,Cotton,Intelligent,Wallet,8041867587,White,White,,,,true,true,,true,17.97,4956,,1,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,8041867651,Turquoise,Turquoise,,,,true,true,,true,44.53,4907,,2,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,5642047491,2015-09-23T20:51:53-04:00,1,2015-09-23T20:51:53-04:00,2759181315,https://cdn.shopify.com/s/files/1/1000/7970/products/Intelligent_20Cotton_20Wallet.png?v=1443055913,Title,1,White,Turquoise,8041867779,Azure,Azure,,,,true,true,,true,45.34,1707,,3,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,8041867843,Ivory,Ivory,,,,true,true,,true,54.44,1330,,4,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,8041867907,Sky blue,Sky blue,,,,true,true,,true,92.91,430,,5,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,Azure,Ivory,Sky blue,,8041867971,Olive,Olive,,,,true,true,,true,87.30,2283,,6,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,8041868099,Orchid,Orchid,,,,true,true,,true,12.89,7078,,7,2759181315,2015-09-23T20:51:53-04:00,2015-09-23T20:51:53-04:00,Olive,Orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
