id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags/0,tags/1,tags/2,variants/0/id,variants/0/title,variants/0/option1,variants/0/option2,variants/0/option3,variants/0/sku,variants/0/requires_shipping,variants/0/taxable,variants/0/featured_image,variants/0/available,variants/0/price,variants/0/grams,variants/0/compare_at_price,variants/0/position,variants/0/product_id,variants/0/created_at,variants/0/updated_at,variants/1/id,variants/1/title,variants/1/option1,variants/1/option2,variants/1/option3,variants/1/sku,variants/1/requires_shipping,variants/1/taxable,variants/1/featured_image,variants/1/available,variants/1/price,variants/1/grams,variants/1/compare_at_price,variants/1/position,variants/1/product_id,variants/1/created_at,variants/1/updated_at,variants/2/id,variants/2/title,variants/2/option1,variants/2/option2,variants/2/option3,variants/2/sku,variants/2/requires_shipping,variants/2/taxable,variants/2/featured_image,variants/2/available,variants/2/price,variants/2/grams,variants/2/compare_at_price,variants/2/position,variants/2/product_id,variants/2/created_at,variants/2/updated_at,variants/3/id,variants/3/title,variants/3/option1,variants/3/option2,variants/3/option3,variants/3/sku,variants/3/requires_shipping,variants/3/taxable,variants/3/featured_image,variants/3/available,variants/3/price,variants/3/grams,variants/3/compare_at_price,variants/3/position,variants/3/product_id,variants/3/created_at,variants/3/updated_at,images/0/id,images/0/created_at,images/0/position,images/0/updated_at,images/0/product_id,images/0/src,options/0/name,options/0/position,options/0/values/0,options/0/values/1,options/0/values/2,options/0/values/3,variants/4/id,variants/4/title,variants/4/option1,variants/4/option2,variants/4/option3,variants/4/sku,variants/4/requires_shipping,variants/4/taxable,variants/4/featured_image,variants/4/available,variants/4/price,variants/4/grams,variants/4/compare_at_price,variants/4/position,variants/4/product_id,variants/4/created_at,variants/4/updated_at,variants/5/id,variants/5/title,variants/5/option1,variants/5/option2,variants/5/option3,variants/5/sku,variants/5/requires_shipping,variants/5/taxable,variants/5/featured_image,variants/5/available,variants/5/price,variants/5/grams,variants/5/compare_at_price,variants/5/position,variants/5/product_id,variants/5/created_at,variants/5/updated_at,options/0/values/4,options/0/values/5,variants/6/id,variants/6/title,variants/6/option1,variants/6/option2,variants/6/option3,variants/6/sku,variants/6/requires_shipping,variants/6/taxable,variants/6/featured_image,variants/6/available,variants/6/price,variants/6/grams,variants/6/compare_at_price,variants/6/position,variants/6/product_id,variants/6/created_at,variants/6/updated_at,variants/7/id,variants/7/title,variants/7/option1,variants/7/option2,variants/7/option3,variants/7/sku,variants/7/requires_shipping,variants/7/taxable,variants/7/featured_image,variants/7/available,variants/7/price,variants/7/grams,variants/7/compare_at_price,variants/7/position,variants/7/product_id,variants/7/created_at,variants/7/updated_at,variants/8/id,variants/8/title,variants/8/option1,variants/8/option2,variants/8/option3,variants/8/sku,variants/8/requires_shipping,variants/8/taxable,variants/8/featured_image,variants/8/available,variants/8/price,variants/8/grams,variants/8/compare_at_price,variants/8/position,variants/8/product_id,variants/8/created_at,variants/8/updated_at,options/0/values/6,options/0/values/7,options/0/values/8,tags/3
2759167235,Mediocre Silk Table,mediocre-silk-table,Deliver world-class portals,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,Bradtke LLC,Table,Mediocre,Silk,Table,8041837315,Azure,Azure,,,,true,true,,true,44.14,9808,,1,2759167235,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,8041837379,Orange,Orange,,,,true,true,,true,47.04,2705,,2,2759167235,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,8041837443,Lime,Lime,,,,true,true,,true,85.29,3821,,3,2759167235,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,8041837571,Silver,Silver,,,,true,true,,true,39.49,1168,,4,2759167235,2015-09-23T20:51:18-04:00,2015-09-23T20:51:18-04:00,5642029571,2015-09-23T20:51:18-04:00,1,2015-09-23T20:51:18-04:00,2759167235,https://cdn.shopify.com/s/files/1/1000/7970/products/Mediocre_20Silk_20Table.png?v=1443055878,Title,1,Azure,Orange,Lime,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759166851,Incredible Silk Keyboard,incredible-silk-keyboard,Aggregate best-of-breed initiatives,2015-09-23T20:51:16-04:00,2015-09-23T20:51:16-04:00,2015-09-23T20:51:16-04:00,"Goodwin, Satterfield and Fritsch",Keyboard,Incredible,Keyboard,Silk,8041835587,Lime,Lime,,,,true,true,,true,51.05,3622,,1,2759166851,2015-09-23T20:51:16-04:00,2015-09-23T20:51:16-04:00,8041835651,Orchid,Orchid,,,,true,true,,true,47.21,5140,,2,2759166851,2015-09-23T20:51:16-04:00,2015-09-23T20:51:16-04:00,8041835715,Orange,Orange,,,,true,true,,true,53.73,5822,,3,2759166851,2015-09-23T20:51:16-04:00,2015-09-23T20:51:16-04:00,,,,,,,,,,,,,,,,,,5642028739,2015-09-23T20:51:16-04:00,1,2015-09-23T20:51:16-04:00,2759166851,https://cdn.shopify.com/s/files/1/1000/7970/products/Incredible_20Silk_20Keyboard.png?v=1443055876,Title,1,Lime,Orchid,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759166275,Synergistic Rubber Table,synergistic-rubber-table,Unleash one-to-one supply-chains,2015-09-23T20:51:14-04:00,2015-09-23T20:51:14-04:00,2015-09-23T20:51:14-04:00,"Waters, Kutch and Greenfelder",Table,Rubber,Synergistic,Table,8041834755,Cyan,Cyan,,,,true,true,,true,78.33,3471,,1,2759166275,2015-09-23T20:51:14-04:00,2015-09-23T20:51:14-04:00,8041834819,Pink,Pink,,,,true,true,,true,59.08,7220,,2,2759166275,2015-09-23T20:51:14-04:00,2015-09-23T20:51:14-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642027907,2015-09-23T20:51:14-04:00,1,2015-09-23T20:51:14-04:00,2759166275,https://cdn.shopify.com/s/files/1/1000/7970/products/Synergistic_20Rubber_20Table.png?v=1443055874,Title,1,Cyan,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759166147,Practical Marble Bag,practical-marble-bag,Revolutionize value-added applications,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,Konopelski LLC,Bag,Bag,Marble,Practical,8041834179,Black,Black,,,,true,true,,true,39.24,7937,,1,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,8041834243,Violet,Violet,,,,true,true,,true,84.42,9064,,2,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,8041834307,Olive,Olive,,,,true,true,,true,21.62,9306,,3,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,8041834371,Teal,Teal,,,,true,true,,true,3.89,6574,,4,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,5642027651,2015-09-23T20:51:13-04:00,1,2015-09-23T20:51:13-04:00,2759166147,https://cdn.shopify.com/s/files/1/1000/7970/products/Practical_20Marble_20Bag.png?v=1443055873,Title,1,Black,Violet,Olive,Teal,8041834435,Yellow,Yellow,,,,true,true,,true,10.07,690,,5,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,8041834499,Green,Green,,,,true,true,,true,98.71,7529,,6,2759166147,2015-09-23T20:51:13-04:00,2015-09-23T20:51:13-04:00,Yellow,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759165827,Incredible Granite Shoes,incredible-granite-shoes,Redefine robust channels,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,"Parker, Roberts and Berge",Shoes,Granite,Incredible,Shoes,8041833475,Plum,Plum,,,,true,true,,true,76.87,1626,,1,2759165827,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,8041833539,Indigo,Indigo,,,,true,true,,true,42.49,4944,,2,2759165827,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,8041833667,Azure,Azure,,,,true,true,,true,43.56,2815,,3,2759165827,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,8041833731,Orange,Orange,,,,true,true,,true,18.23,4466,,4,2759165827,2015-09-23T20:51:11-04:00,2015-09-23T20:51:11-04:00,5642026947,2015-09-23T20:51:11-04:00,1,2015-09-23T20:51:11-04:00,2759165827,https://cdn.shopify.com/s/files/1/1000/7970/products/Incredible_20Granite_20Shoes.png?v=1443055871,Title,1,Plum,Indigo,Azure,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759165507,Intelligent Steel Car,intelligent-steel-car,Architect mission-critical infrastructures,2015-09-23T20:51:10-04:00,2015-09-23T20:51:10-04:00,2015-09-23T20:51:10-04:00,Kuhlman-Gusikowski,Car,Car,Intelligent,Steel,8041832195,Fuchsia,Fuchsia,,,,true,true,,true,97.47,4199,,1,2759165507,2015-09-23T20:51:10-04:00,2015-09-23T20:51:10-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642025219,2015-09-23T20:51:10-04:00,1,2015-09-23T20:51:10-04:00,2759165507,https://cdn.shopify.com/s/files/1/1000/7970/products/Intelligent_20Steel_20Car.png?v=1443055870,Title,1,Fuchsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759165187,Awesome Silk Pants,awesome-silk-pants,Expedite impactful schemas,2015-09-23T20:51:08-04:00,2015-09-23T20:51:08-04:00,2015-09-23T20:51:08-04:00,O'Keefe-Stehr,Pants,Awesome,Pants,Silk,8041831939,Silver,Silver,,,,true,true,,true,46.54,7862,,1,2759165187,2015-09-23T20:51:08-04:00,2015-09-23T20:51:08-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642023939,2015-09-23T20:51:08-04:00,1,2015-09-23T20:51:08-04:00,2759165187,https://cdn.shopify.com/s/files/1/1000/7970/products/Awesome_20Silk_20Pants.png?v=1443055868,Title,1,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759165123,Lightweight Wool Bottle,lightweight-wool-bottle,Drive bleeding-edge systems,2015-09-23T20:51:07-04:00,2015-09-23T20:51:07-04:00,2015-09-23T20:51:07-04:00,"Rice, Ritchie and McKenzie",Bottle,Bottle,Lightweight,Wool,8041831811,Green,Green,,,,true,true,,true,79.90,6546,,1,2759165123,2015-09-23T20:51:07-04:00,2015-09-23T20:51:07-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642023555,2015-09-23T20:51:07-04:00,1,2015-09-23T20:51:07-04:00,2759165123,https://cdn.shopify.com/s/files/1/1000/7970/products/Lightweight_20Wool_20Bottle.png?v=1443055867,Title,1,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759164739,Lightweight Concrete Shirt,lightweight-concrete-shirt,Mesh interactive action-items,2015-09-23T20:51:05-04:00,2015-09-23T20:51:05-04:00,2015-09-23T20:51:05-04:00,Auer-Morar,Shirt,Concrete,Lightweight,Shirt,8041830915,Grey,Grey,,,,true,true,,true,65.77,6458,,1,2759164739,2015-09-23T20:51:05-04:00,2015-09-23T20:51:05-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642022851,2015-09-23T20:51:05-04:00,1,2015-09-23T20:51:05-04:00,2759164739,https://cdn.shopify.com/s/files/1/1000/7970/products/Lightweight_20Concrete_20Shirt.png?v=1443055865,Title,1,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759164675,Incredible Bronze Keyboard,incredible-bronze-keyboard,Disintermediate frictionless interfaces,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,Mosciski Group,Keyboard,Bronze,Incredible,Keyboard,8041830595,Grey,Grey,,,,true,true,,true,93.37,9973,,1,2759164675,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,8041830659,Green,Green,,,,true,true,,true,58.86,4854,,2,2759164675,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,8041830723,White,White,,,,true,true,,true,43.13,512,,3,2759164675,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,8041830787,Plum,Plum,,,,true,true,,true,50.41,4183,,4,2759164675,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,5642022723,2015-09-23T20:51:04-04:00,1,2015-09-23T20:51:04-04:00,2759164675,https://cdn.shopify.com/s/files/1/1000/7970/products/Incredible_20Bronze_20Keyboard.png?v=1443055864,Title,1,Grey,Green,White,Plum,8041830851,Sky blue,Sky blue,,,,true,true,,true,26.07,6623,,5,2759164675,2015-09-23T20:51:04-04:00,2015-09-23T20:51:04-04:00,,,,,,,,,,,,,,,,,,Sky blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
