id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags/0,tags/1,tags/2,variants/0/id,variants/0/title,variants/0/option1,variants/0/option2,variants/0/option3,variants/0/sku,variants/0/requires_shipping,variants/0/taxable,variants/0/featured_image,variants/0/available,variants/0/price,variants/0/grams,variants/0/compare_at_price,variants/0/position,variants/0/product_id,variants/0/created_at,variants/0/updated_at,variants/1/id,variants/1/title,variants/1/option1,variants/1/option2,variants/1/option3,variants/1/sku,variants/1/requires_shipping,variants/1/taxable,variants/1/featured_image,variants/1/available,variants/1/price,variants/1/grams,variants/1/compare_at_price,variants/1/position,variants/1/product_id,variants/1/created_at,variants/1/updated_at,variants/2/id,variants/2/title,variants/2/option1,variants/2/option2,variants/2/option3,variants/2/sku,variants/2/requires_shipping,variants/2/taxable,variants/2/featured_image,variants/2/available,variants/2/price,variants/2/grams,variants/2/compare_at_price,variants/2/position,variants/2/product_id,variants/2/created_at,variants/2/updated_at,variants/3/id,variants/3/title,variants/3/option1,variants/3/option2,variants/3/option3,variants/3/sku,variants/3/requires_shipping,variants/3/taxable,variants/3/featured_image,variants/3/available,variants/3/price,variants/3/grams,variants/3/compare_at_price,variants/3/position,variants/3/product_id,variants/3/created_at,variants/3/updated_at,images/0/id,images/0/created_at,images/0/position,images/0/updated_at,images/0/product_id,images/0/src,options/0/name,options/0/position,options/0/values/0,options/0/values/1,options/0/values/2,options/0/values/3,tags/3,variants/4/id,variants/4/title,variants/4/option1,variants/4/option2,variants/4/option3,variants/4/sku,variants/4/requires_shipping,variants/4/taxable,variants/4/featured_image,variants/4/available,variants/4/price,variants/4/grams,variants/4/compare_at_price,variants/4/position,variants/4/product_id,variants/4/created_at,variants/4/updated_at,options/0/values/4,variants/5/id,variants/5/title,variants/5/option1,variants/5/option2,variants/5/option3,variants/5/sku,variants/5/requires_shipping,variants/5/taxable,variants/5/featured_image,variants/5/available,variants/5/price,variants/5/grams,variants/5/compare_at_price,variants/5/position,variants/5/product_id,variants/5/created_at,variants/5/updated_at,variants/6/id,variants/6/title,variants/6/option1,variants/6/option2,variants/6/option3,variants/6/sku,variants/6/requires_shipping,variants/6/taxable,variants/6/featured_image,variants/6/available,variants/6/price,variants/6/grams,variants/6/compare_at_price,variants/6/position,variants/6/product_id,variants/6/created_at,variants/6/updated_at,variants/7/id,variants/7/title,variants/7/option1,variants/7/option2,variants/7/option3,variants/7/sku,variants/7/requires_shipping,variants/7/taxable,variants/7/featured_image,variants/7/available,variants/7/price,variants/7/grams,variants/7/compare_at_price,variants/7/position,variants/7/product_id,variants/7/created_at,variants/7/updated_at,options/0/values/5,options/0/values/6,options/0/values/7,variants/8/id,variants/8/title,variants/8/option1,variants/8/option2,variants/8/option3,variants/8/sku,variants/8/requires_shipping,variants/8/taxable,variants/8/featured_image,variants/8/available,variants/8/price,variants/8/grams,variants/8/compare_at_price,variants/8/position,variants/8/product_id,variants/8/created_at,variants/8/updated_at,options/0/values/8
2759154691,Ergonomic Wool Plate,ergonomic-wool-plate,Benchmark transparent synergies,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,Weissnat-Larkin,Plate,Ergonomic,Plate,Wool,8041800067,Green,Green,,,,true,true,,true,91.73,4142,,1,2759154691,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,8041800195,Violet,Violet,,,,true,true,,true,31.68,5389,,2,2759154691,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,8041800259,Grey,Grey,,,,true,true,,true,27.21,1282,,3,2759154691,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,8041800323,Orange,Orange,,,,true,true,,true,48.96,6161,,4,2759154691,2015-09-23T20:50:19-04:00,2015-09-23T20:50:19-04:00,5642003523,2015-09-23T20:50:19-04:00,1,2015-09-23T20:50:19-04:00,2759154691,https://cdn.shopify.com/s/files/1/1000/7970/products/Ergonomic_20Wool_20Plate.png?v=1443055819,Title,1,Green,Violet,Grey,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759154307,Heavy Duty Wool Plate,heavy-duty-wool-plate,Architect virtual supply-chains,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,Goodwin LLC,Plate,Duty,Heavy,Plate,8041797891,Maroon,Maroon,,,,true,true,,true,92.34,3222,,1,2759154307,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,8041798083,Purple,Purple,,,,true,true,,true,60.16,1908,,2,2759154307,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,8041798211,Lavender,Lavender,,,,true,true,,true,83.13,893,,3,2759154307,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,8041798339,Turquoise,Turquoise,,,,true,true,,true,97.22,1107,,4,2759154307,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,5642002755,2015-09-23T20:50:18-04:00,1,2015-09-23T20:50:18-04:00,2759154307,https://cdn.shopify.com/s/files/1/1000/7970/products/Heavy_20Duty_20Wool_20Plate.png?v=1443055818,Title,1,Maroon,Purple,Lavender,Turquoise,Wool,8041798595,Yellow,Yellow,,,,true,true,,true,32.52,6628,,5,2759154307,2015-09-23T20:50:18-04:00,2015-09-23T20:50:18-04:00,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759151683,Practical Copper Bottle,practical-copper-bottle,E-enable user-centric relationships,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,Corkery-Nienow,Bottle,Bottle,Copper,Practical,8041786755,Azure,Azure,,,,true,true,,true,36.89,2305,,1,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,8041786819,Ivory,Ivory,,,,true,true,,true,68.60,2801,,2,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,8041786883,Purple,Purple,,,,true,true,,true,7.64,9148,,3,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,8041786947,Black,Black,,,,true,true,,true,86.44,700,,4,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,5641996995,2015-09-23T20:50:02-04:00,1,2015-09-23T20:50:02-04:00,2759151683,https://cdn.shopify.com/s/files/1/1000/7970/products/Practical_20Copper_20Bottle.png?v=1443055802,Title,1,Azure,Ivory,Purple,Black,,8041787011,Turquoise,Turquoise,,,,true,true,,true,11.34,4568,,5,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,Turquoise,8041787075,Teal,Teal,,,,true,true,,true,70.04,4483,,6,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,8041787139,Olive,Olive,,,,true,true,,true,7.86,8592,,7,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,8041787203,Indigo,Indigo,,,,true,true,,true,54.51,7623,,8,2759151683,2015-09-23T20:50:02-04:00,2015-09-23T20:50:02-04:00,Teal,Olive,Indigo,,,,,,,,,,,,,,,,,,
2759151363,Heavy Duty Copper Hat,heavy-duty-copper-hat,Morph vertical interfaces,2015-09-23T20:50:01-04:00,2015-09-23T20:50:01-04:00,2015-09-23T20:50:01-04:00,Kohler-Johnston,Hat,Copper,Duty,Hat,8041786243,Red,Red,,,,true,true,,true,92.57,574,,1,2759151363,2015-09-23T20:50:01-04:00,2015-09-23T20:50:01-04:00,8041786307,Gold,Gold,,,,true,true,,true,0.83,6685,,2,2759151363,2015-09-23T20:50:01-04:00,2015-09-23T20:50:01-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641996355,2015-09-23T20:50:01-04:00,1,2015-09-23T20:50:01-04:00,2759151363,https://cdn.shopify.com/s/files/1/1000/7970/products/Heavy_20Duty_20Copper_20Hat.png?v=1443055801,Title,1,Red,Gold,,,Heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759150915,Awesome Copper Chair,awesome-copper-chair,Synthesize scalable synergies,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,Lesch-Lockman,Chair,Awesome,Chair,Copper,8041785411,Grey,Grey,,,,true,true,,true,6.60,1350,,1,2759150915,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,8041785475,Tan,Tan,,,,true,true,,true,83.38,2102,,2,2759150915,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,8041785539,Olive,Olive,,,,true,true,,true,19.76,9338,,3,2759150915,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,8041785603,Salmon,Salmon,,,,true,true,,true,79.29,4106,,4,2759150915,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,5641995523,2015-09-23T20:49:59-04:00,1,2015-09-23T20:49:59-04:00,2759150915,https://cdn.shopify.com/s/files/1/1000/7970/products/Awesome_20Copper_20Chair.png?v=1443055799,Title,1,Grey,Tan,Olive,Salmon,,8041785667,Black,Black,,,,true,true,,true,22.31,5125,,5,2759150915,2015-09-23T20:49:59-04:00,2015-09-23T20:49:59-04:00,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759149635,Aerodynamic Linen Computer,aerodynamic-linen-computer,Whiteboard virtual web services,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,Connelly LLC,Computer,Aerodynamic,Computer,Linen,8041781891,Cyan,Cyan,,,,true,true,,true,82.13,709,,1,2759149635,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,8041781955,White,White,,,,true,true,,true,27.26,6985,,2,2759149635,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,8041782019,Plum,Plum,,,,true,true,,true,85.71,5337,,3,2759149635,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,8041782083,Orchid,Orchid,,,,true,true,,true,75.90,3843,,4,2759149635,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,5641993091,2015-09-23T20:49:54-04:00,1,2015-09-23T20:49:54-04:00,2759149635,https://cdn.shopify.com/s/files/1/1000/7970/products/Aerodynamic_20Linen_20Computer.png?v=1443055794,Title,1,Cyan,White,Plum,Orchid,,8041782147,Lavender,Lavender,,,,true,true,,true,62.80,914,,5,2759149635,2015-09-23T20:49:54-04:00,2015-09-23T20:49:54-04:00,Lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759149251,Ergonomic Cotton Computer,ergonomic-cotton-computer,Target efficient web-readiness,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,Cremin Group,Computer,Computer,Cotton,Ergonomic,8041780483,Lime,Lime,,,,true,true,,true,0.41,7143,,1,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,8041780611,Gold,Gold,,,,true,true,,true,47.14,8604,,2,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,8041780675,Yellow,Yellow,,,,true,true,,true,72.13,9546,,3,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,8041780739,Mint green,Mint green,,,,true,true,,true,31.18,7916,,4,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,5641992387,2015-09-23T20:49:51-04:00,1,2015-09-23T20:49:51-04:00,2759149251,https://cdn.shopify.com/s/files/1/1000/7970/products/Ergonomic_20Cotton_20Computer.png?v=1443055791,Title,1,Lime,Gold,Yellow,Mint green,,8041780803,Magenta,Magenta,,,,true,true,,true,18.99,5537,,5,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,Magenta,8041780867,Plum,Plum,,,,true,true,,true,32.13,2848,,6,2759149251,2015-09-23T20:49:51-04:00,2015-09-23T20:49:51-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plum,,,,,,,,,,,,,,,,,,,,
2759148931,Ergonomic Concrete Clock,ergonomic-concrete-clock,Iterate visionary content,2015-09-23T20:49:49-04:00,2015-09-23T20:49:49-04:00,2015-09-23T20:49:50-04:00,Pouros-Senger,Clock,Clock,Concrete,Ergonomic,8041779139,Lime,Lime,,,,true,true,,true,98.28,7692,,1,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,8041779203,Lavender,Lavender,,,,true,true,,true,48.99,7960,,2,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,8041779267,Sky blue,Sky blue,,,,true,true,,true,56.33,5828,,3,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,8041779331,Grey,Grey,,,,true,true,,true,55.02,2065,,4,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,5641991555,2015-09-23T20:49:50-04:00,1,2015-09-23T20:49:50-04:00,2759148931,https://cdn.shopify.com/s/files/1/1000/7970/products/Ergonomic_20Concrete_20Clock.png?v=1443055790,Title,1,Lime,Lavender,Sky blue,Grey,,8041779395,Fuchsia,Fuchsia,,,,true,true,,true,11.68,6162,,5,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,Fuchsia,8041779587,Red,Red,,,,true,true,,true,6.20,4401,,6,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,8041779715,Blue,Blue,,,,true,true,,true,66.61,4054,,7,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,8041779779,Olive,Olive,,,,true,true,,true,12.73,9051,,8,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,Red,Blue,Olive,8041779843,Tan,Tan,,,,true,true,,true,39.87,5939,,9,2759148931,2015-09-23T20:49:50-04:00,2015-09-23T20:49:50-04:00,Tan
2759148483,Practical Copper Bag,practical-copper-bag,Cultivate bleeding-edge infrastructures,2015-09-23T20:49:48-04:00,2015-09-23T20:49:48-04:00,2015-09-23T20:49:48-04:00,Boehm-O'Keefe,Bag,Bag,Copper,Practical,8041778307,Sky blue,Sky blue,,,,true,true,,true,58.55,1862,,1,2759148483,2015-09-23T20:49:48-04:00,2015-09-23T20:49:48-04:00,8041778371,Pink,Pink,,,,true,true,,true,69.16,5223,,2,2759148483,2015-09-23T20:49:48-04:00,2015-09-23T20:49:48-04:00,8041778435,Purple,Purple,,,,true,true,,true,79.87,6572,,3,2759148483,2015-09-23T20:49:48-04:00,2015-09-23T20:49:48-04:00,,,,,,,,,,,,,,,,,,5641991171,2015-09-23T20:49:48-04:00,1,2015-09-23T20:49:48-04:00,2759148483,https://cdn.shopify.com/s/files/1/1000/7970/products/Practical_20Copper_20Bag.png?v=1443055788,Title,1,Sky blue,Pink,Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759147587,Practical Paper Shoes,practical-paper-shoes,Embrace leading-edge niches,2015-09-23T20:49:43-04:00,2015-09-23T20:49:43-04:00,2015-09-23T20:49:44-04:00,Dicki and Sons,Shoes,Paper,Practical,Shoes,8041776067,Magenta,Magenta,,,,true,true,,true,19.98,3571,,1,2759147587,2015-09-23T20:49:43-04:00,2015-09-23T20:49:43-04:00,8041776131,Azure,Azure,,,,true,true,,true,21.50,9206,,2,2759147587,2015-09-23T20:49:43-04:00,2015-09-23T20:49:43-04:00,8041776259,Pink,Pink,,,,true,true,,true,64.28,8510,,3,2759147587,2015-09-23T20:49:43-04:00,2015-09-23T20:49:43-04:00,8041776323,Grey,Grey,,,,true,true,,true,83.87,6957,,4,2759147587,2015-09-23T20:49:43-04:00,2015-09-23T20:49:43-04:00,5641988611,2015-09-23T20:49:43-04:00,1,2015-09-23T20:49:43-04:00,2759147587,https://cdn.shopify.com/s/files/1/1000/7970/products/Practical_20Paper_20Shoes.png?v=1443055783,Title,1,Magenta,Azure,Pink,Grey,,8041776387,Lavender,Lavender,,,,true,true,,true,33.36,2012,,5,2759147587,2015-09-23T20:49:44-04:00,2015-09-23T20:49:44-04:00,Lavender,8041776451,Black,Black,,,,true,true,,true,41.62,5180,,6,2759147587,2015-09-23T20:49:44-04:00,2015-09-23T20:49:44-04:00,8041776515,Teal,Teal,,,,true,true,,true,58.58,188,,7,2759147587,2015-09-23T20:49:44-04:00,2015-09-23T20:49:44-04:00,8041776579,Salmon,Salmon,,,,true,true,,true,74.06,3851,,8,2759147587,2015-09-23T20:49:44-04:00,2015-09-23T20:49:44-04:00,Black,Teal,Salmon,,,,,,,,,,,,,,,,,,
