id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags/0,tags/1,tags/2,variants/0/id,variants/0/title,variants/0/option1,variants/0/option2,variants/0/option3,variants/0/sku,variants/0/requires_shipping,variants/0/taxable,variants/0/featured_image,variants/0/available,variants/0/price,variants/0/grams,variants/0/compare_at_price,variants/0/position,variants/0/product_id,variants/0/created_at,variants/0/updated_at,variants/1/id,variants/1/title,variants/1/option1,variants/1/option2,variants/1/option3,variants/1/sku,variants/1/requires_shipping,variants/1/taxable,variants/1/featured_image,variants/1/available,variants/1/price,variants/1/grams,variants/1/compare_at_price,variants/1/position,variants/1/product_id,variants/1/created_at,variants/1/updated_at,variants/2/id,variants/2/title,variants/2/option1,variants/2/option2,variants/2/option3,variants/2/sku,variants/2/requires_shipping,variants/2/taxable,variants/2/featured_image,variants/2/available,variants/2/price,variants/2/grams,variants/2/compare_at_price,variants/2/position,variants/2/product_id,variants/2/created_at,variants/2/updated_at,variants/3/id,variants/3/title,variants/3/option1,variants/3/option2,variants/3/option3,variants/3/sku,variants/3/requires_shipping,variants/3/taxable,variants/3/featured_image,variants/3/available,variants/3/price,variants/3/grams,variants/3/compare_at_price,variants/3/position,variants/3/product_id,variants/3/created_at,variants/3/updated_at,variants/4/id,variants/4/title,variants/4/option1,variants/4/option2,variants/4/option3,variants/4/sku,variants/4/requires_shipping,variants/4/taxable,variants/4/featured_image,variants/4/available,variants/4/price,variants/4/grams,variants/4/compare_at_price,variants/4/position,variants/4/product_id,variants/4/created_at,variants/4/updated_at,variants/5/id,variants/5/title,variants/5/option1,variants/5/option2,variants/5/option3,variants/5/sku,variants/5/requires_shipping,variants/5/taxable,variants/5/featured_image,variants/5/available,variants/5/price,variants/5/grams,variants/5/compare_at_price,variants/5/position,variants/5/product_id,variants/5/created_at,variants/5/updated_at,variants/6/id,variants/6/title,variants/6/option1,variants/6/option2,variants/6/option3,variants/6/sku,variants/6/requires_shipping,variants/6/taxable,variants/6/featured_image,variants/6/available,variants/6/price,variants/6/grams,variants/6/compare_at_price,variants/6/position,variants/6/product_id,variants/6/created_at,variants/6/updated_at,variants/7/id,variants/7/title,variants/7/option1,variants/7/option2,variants/7/option3,variants/7/sku,variants/7/requires_shipping,variants/7/taxable,variants/7/featured_image,variants/7/available,variants/7/price,variants/7/grams,variants/7/compare_at_price,variants/7/position,variants/7/product_id,variants/7/created_at,variants/7/updated_at,variants/8/id,variants/8/title,variants/8/option1,variants/8/option2,variants/8/option3,variants/8/sku,variants/8/requires_shipping,variants/8/taxable,variants/8/featured_image,variants/8/available,variants/8/price,variants/8/grams,variants/8/compare_at_price,variants/8/position,variants/8/product_id,variants/8/created_at,variants/8/updated_at,images/0/id,images/0/created_at,images/0/position,images/0/updated_at,images/0/product_id,images/0/src,options/0/name,options/0/position,options/0/values/0,options/0/values/1,options/0/values/2,options/0/values/3,options/0/values/4,options/0/values/5,options/0/values/6,options/0/values/7,options/0/values/8,tags/3
2759138307,Gorgeous Paper Coat,gorgeous-paper-coat,Drive efficient users,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,Donnelly LLC,Coat,Coat,Gorgeous,Paper,8041746179,Pink,Pink,,,,true,true,,true,23.88,5216,,1,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746243,Ivory,Ivory,,,,true,true,,true,17.47,1686,,2,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746307,Gold,Gold,,,,true,true,,true,6.29,8559,,3,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746435,Azure,Azure,,,,true,true,,true,82.24,8655,,4,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746563,Orange,Orange,,,,true,true,,true,90.09,6051,,5,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746691,Mint green,Mint green,,,,true,true,,true,52.03,6858,,6,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746819,Turquoise,Turquoise,,,,true,true,,true,12.46,5859,,7,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041746947,Fuchsia,Fuchsia,,,,true,true,,true,52.15,7017,,8,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,8041747075,Maroon,Maroon,,,,true,true,,true,20.38,7920,,9,2759138307,2015-09-23T20:49:01-04:00,2015-09-23T20:49:01-04:00,5641969859,2015-09-23T20:49:01-04:00,1,2015-09-23T20:49:01-04:00,2759138307,https://cdn.shopify.com/s/files/1/1000/7970/products/Gorgeous_20Paper_20Coat.png?v=1443055741,Title,1,Pink,Ivory,Gold,Azure,Orange,Mint green,Turquoise,Fuchsia,Maroon,
2759138883,Ergonomic Plastic Bench,ergonomic-plastic-bench,Transition 24/7 bandwidth,2015-09-23T20:49:00-04:00,2015-09-23T20:49:04-04:00,2016-08-16T15:13:23-04:00,Schaden LLC,Bench,Bench,Ergonomic,Plastic,8041748291,Violet,Violet,,,,true,true,,true,55.26,9543,,1,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748355,Mint green,Mint green,,,,true,true,,true,32.14,1030,,2,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748419,Pink,Pink,,,,true,true,,true,90.61,4709,,3,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748483,Lavender,Lavender,,,,true,true,,true,98.93,9871,,4,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748547,Blue,Blue,,,,true,true,,true,85.88,617,,5,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748611,Black,Black,,,,true,true,,true,97.14,2161,,6,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748675,Silver,Silver,,,,true,true,,true,56.36,9700,,7,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748739,Teal,Teal,,,,true,true,,true,31.90,506,,8,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,8041748803,Maroon,Maroon,,,,true,true,,true,43.42,3025,,9,2759138883,2015-09-23T20:49:04-04:00,2015-09-23T20:49:04-04:00,5641971651,2015-09-23T20:49:04-04:00,1,2015-09-23T20:49:04-04:00,2759138883,https://cdn.shopify.com/s/files/1/1000/7970/products/Ergonomic_20Plastic_20Bench.png?v=1443055744,Title,1,Violet,Mint green,Pink,Lavender,Blue,Black,Silver,Teal,Maroon,
2759147203,Awesome Concrete Watch,awesome-concrete-watch,Aggregate value-added e-commerce,2015-09-23T20:49:00-04:00,2015-09-23T20:49:42-04:00,2016-08-16T15:13:09-04:00,Bartoletti-Kozey,Watch,Awesome,Concrete,Watch,8041775555,Ivory,Ivory,,,,true,true,,true,69.24,3439,,1,2759147203,2015-09-23T20:49:42-04:00,2015-09-23T20:49:42-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641987459,2015-09-23T20:49:42-04:00,1,2015-09-23T20:49:42-04:00,2759147203,https://cdn.shopify.com/s/files/1/1000/7970/products/Awesome_20Concrete_20Watch.png?v=1443055782,Title,1,Ivory,,,,,,,,,
2759137795,Heavy Duty Plastic Coat,heavy-duty-plastic-coat,Whiteboard proactive e-services,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,Marks-Schneider,Coat,Coat,Duty,Heavy,8041744579,Magenta,Magenta,,,,true,true,,true,79.32,6615,,1,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744643,Salmon,Salmon,,,,true,true,,true,47.54,1752,,2,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744707,Red,Red,,,,true,true,,true,20.34,6630,,3,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744771,Blue,Blue,,,,true,true,,true,48.99,765,,4,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744835,Tan,Tan,,,,true,true,,true,18.89,8603,,5,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744899,Turquoise,Turquoise,,,,true,true,,true,97.10,4890,,6,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041744963,Plum,Plum,,,,true,true,,true,60.65,7213,,7,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,8041745027,Green,Green,,,,true,true,,true,15.83,4224,,8,2759137795,2015-09-23T20:48:59-04:00,2015-09-23T20:48:59-04:00,,,,,,,,,,,,,,,,,,5641969219,2015-09-23T20:48:59-04:00,1,2015-09-23T20:48:59-04:00,2759137795,https://cdn.shopify.com/s/files/1/1000/7970/products/Heavy_20Duty_20Plastic_20Coat.png?v=1443055739,Title,1,Magenta,Salmon,Red,Blue,Tan,Turquoise,Plum,Green,,Plastic
2759137667,Durable Aluminum Knife,durable-aluminum-knife,Incubate bricks-and-clicks e-tailers,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,Bauch Inc,Knife,Aluminum,Durable,Knife,8041744195,Yellow,Yellow,,,,true,true,,true,85.67,8569,,1,2759137667,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,8041744259,Fuchsia,Fuchsia,,,,true,true,,true,32.51,1047,,2,2759137667,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,8041744323,Sky blue,Sky blue,,,,true,true,,true,68.58,6029,,3,2759137667,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,8041744387,Orchid,Orchid,,,,true,true,,true,82.42,2795,,4,2759137667,2015-09-23T20:48:58-04:00,2015-09-23T20:48:58-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641968835,2015-09-23T20:48:58-04:00,1,2015-09-23T20:48:58-04:00,2759137667,https://cdn.shopify.com/s/files/1/1000/7970/products/Durable_20Aluminum_20Knife.png?v=1443055738,Title,1,Yellow,Fuchsia,Sky blue,Orchid,,,,,,
2759137539,Synergistic Rubber Pants,synergistic-rubber-pants,Productize collaborative web services,2015-09-23T20:48:56-04:00,2015-09-23T20:48:56-04:00,2015-09-23T20:48:56-04:00,Medhurst Inc,Pants,Pants,Rubber,Synergistic,8041743747,Salmon,Salmon,,,,true,true,,true,20.14,6977,,1,2759137539,2015-09-23T20:48:56-04:00,2015-09-23T20:48:56-04:00,8041743811,Purple,Purple,,,,true,true,,true,6.59,7716,,2,2759137539,2015-09-23T20:48:56-04:00,2015-09-23T20:48:56-04:00,8041743875,Indigo,Indigo,,,,true,true,,true,43.87,7410,,3,2759137539,2015-09-23T20:48:56-04:00,2015-09-23T20:48:56-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641968387,2015-09-23T20:48:56-04:00,1,2015-09-23T20:48:56-04:00,2759137539,https://cdn.shopify.com/s/files/1/1000/7970/products/Synergistic_20Rubber_20Pants.png?v=1443055736,Title,1,Salmon,Purple,Indigo,,,,,,,
2759137027,Aerodynamic Concrete Clock,aerodynamic-concrete-clock,Transition rich vortals,2015-09-23T20:48:54-04:00,2015-09-23T20:48:54-04:00,2015-09-23T20:48:54-04:00,"Jenkins, Orn and Blick",Clock,Aerodynamic,Clock,Concrete,8041741187,Mint green,Mint green,,,,true,true,,true,4.32,4917,,1,2759137027,2015-09-23T20:48:54-04:00,2015-09-23T20:48:54-04:00,8041741251,Violet,Violet,,,,true,true,,true,76.67,8081,,2,2759137027,2015-09-23T20:48:54-04:00,2015-09-23T20:48:54-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641966979,2015-09-23T20:48:54-04:00,1,2015-09-23T20:48:54-04:00,2759137027,https://cdn.shopify.com/s/files/1/1000/7970/products/Aerodynamic_20Concrete_20Clock.png?v=1443055734,Title,1,Mint green,Violet,,,,,,,,
2759136643,Intelligent Iron Wallet,intelligent-iron-wallet,Facilitate interactive deliverables,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,Lemke-Mraz,Wallet,Intelligent,Iron,Wallet,8041740291,Fuchsia,Fuchsia,,,,true,true,,true,60.15,4927,,1,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740355,Turquoise,Turquoise,,,,true,true,,true,86.79,2386,,2,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740419,Yellow,Yellow,,,,true,true,,true,17.81,3291,,3,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740483,Cyan,Cyan,,,,true,true,,true,3.46,4264,,4,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740547,Gold,Gold,,,,true,true,,true,74.90,5427,,5,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740675,Lavender,Lavender,,,,true,true,,true,8.82,8120,,6,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740739,Tan,Tan,,,,true,true,,true,40.69,3306,,7,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740803,Indigo,Indigo,,,,true,true,,true,74.61,7091,,8,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,8041740867,Green,Green,,,,true,true,,true,12.48,5683,,9,2759136643,2015-09-23T20:48:53-04:00,2015-09-23T20:48:53-04:00,5641966595,2015-09-23T20:48:53-04:00,1,2015-09-23T20:48:53-04:00,2759136643,https://cdn.shopify.com/s/files/1/1000/7970/products/Intelligent_20Iron_20Wallet.png?v=1443055733,Title,1,Fuchsia,Turquoise,Yellow,Cyan,Gold,Lavender,Tan,Indigo,Green,
2759136067,Rustic Silk Bench,rustic-silk-bench,Optimize cutting-edge relationships,2015-09-23T20:48:50-04:00,2015-09-23T20:48:50-04:00,2015-09-23T20:48:50-04:00,Ebert-Pfeffer,Bench,Bench,Rustic,Silk,8041737731,Plum,Plum,,,,true,true,,true,28.56,2530,,1,2759136067,2015-09-23T20:48:50-04:00,2015-09-23T20:48:50-04:00,8041737795,Gold,Gold,,,,true,true,,true,38.48,4618,,2,2759136067,2015-09-23T20:48:50-04:00,2015-09-23T20:48:50-04:00,8041737859,Turquoise,Turquoise,,,,true,true,,true,80.94,4580,,3,2759136067,2015-09-23T20:48:50-04:00,2015-09-23T20:48:50-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641964867,2015-09-23T20:48:50-04:00,1,2015-09-23T20:48:50-04:00,2759136067,https://cdn.shopify.com/s/files/1/1000/7970/products/Rustic_20Silk_20Bench.png?v=1443055730,Title,1,Plum,Gold,Turquoise,,,,,,,
2759134531,Intelligent Plastic Bench,intelligent-plastic-bench,Optimize integrated eyeballs,2015-09-23T20:48:43-04:00,2015-09-23T20:48:43-04:00,2015-09-23T20:48:43-04:00,Bogisich-Rice,Bench,Bench,Intelligent,Plastic,8041732611,Maroon,Maroon,,,,true,true,,true,58.07,6361,,1,2759134531,2015-09-23T20:48:43-04:00,2015-09-23T20:48:43-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641961667,2015-09-23T20:48:43-04:00,1,2015-09-23T20:48:43-04:00,2759134531,https://cdn.shopify.com/s/files/1/1000/7970/products/Intelligent_20Plastic_20Bench.png?v=1443055723,Title,1,Maroon,,,,,,,,,
